commodity,z,P
BARLEY,0.18134707868517042,0.35
BARLEY,0.2288315305436453,0.348
BARLEY,0.2288315305436453,0.346
BARLEY,0.2288315305436453,0.344
BARLEY,0.2288315305436453,0.342
BARLEY,0.2288315305436453,0.34
BARLEY,0.2288315305436453,0.338
BARLEY,0.2288315305436453,0.336
BARLEY,0.2288315305436453,0.334
BARLEY,0.2288315305436453,0.332
BARLEY,0.2288315305436453,0.33
BARLEY,0.2288315305436453,0.328
BARLEY,0.2288315305436453,0.326
BARLEY,0.2288315305436453,0.324
BARLEY,0.2288315305436453,0.322
BARLEY,0.2288315305436453,0.32
BARLEY,0.2446596811631369,0.318
BARLEY,0.27631598240212013,0.316
BARLEY,0.27631598240212013,0.314
BARLEY,0.323800434260595,0.312
BARLEY,0.323800434260595,0.31
BARLEY,0.323800434260595,0.308
BARLEY,0.323800434260595,0.306
BARLEY,0.323800434260595,0.304
BARLEY,0.323800434260595,0.302
BARLEY,0.323800434260595,0.3
BARLEY,0.323800434260595,0.298
BARLEY,0.323800434260595,0.296
BARLEY,0.323800434260595,0.294
BARLEY,0.323800434260595,0.292
BARLEY,0.323800434260595,0.29
BARLEY,0.323800434260595,0.288
BARLEY,0.323800434260595,0.286
BARLEY,0.323800434260595,0.284
BARLEY,0.4187693379775448,0.282
BARLEY,0.4187693379775448,0.28
BARLEY,0.4187693379775448,0.278
BARLEY,0.4187693379775448,0.276
BARLEY,0.4187693379775448,0.274
BARLEY,0.4187693379775448,0.272
BARLEY,0.4187693379775448,0.27
BARLEY,0.4187693379775448,0.268
BARLEY,0.4187693379775448,0.266
BARLEY,0.4187693379775448,0.264
BARLEY,0.4187693379775448,0.262
BARLEY,0.4187693379775448,0.26
BARLEY,0.4662537898360196,0.258
BARLEY,0.4662537898360196,0.256
BARLEY,0.4662537898360196,0.254
BARLEY,0.5137382416944944,0.252
BARLEY,0.5137382416944944,0.25
BARLEY,0.5137382416944944,0.248
BARLEY,0.5137382416944944,0.246
BARLEY,0.5137382416944944,0.244
BARLEY,0.5137382416944944,0.242
BARLEY,0.5137382416944944,0.24
BARLEY,0.5137382416944944,0.238
BARLEY,0.5137382416944944,0.236
BARLEY,0.5137382416944944,0.234
BARLEY,0.5137382416944944,0.232
BARLEY,0.5137382416944944,0.23
BARLEY,0.5137382416944944,0.228
BARLEY,0.5137382416944944,0.226
BARLEY,0.5137382416944944,0.224
BARLEY,0.5137382416944944,0.222
BARLEY,0.5137382416944944,0.22
BARLEY,0.5137382416944944,0.218
BARLEY,0.5137382416944944,0.216
BARLEY,0.5137382416944944,0.214
BARLEY,0.5137382416944944,0.212
BARLEY,0.5137382416944944,0.21
BARLEY,0.5374804676237319,0.208
BARLEY,0.5612226935529694,0.206
BARLEY,0.5612226935529694,0.204
BARLEY,0.5612226935529694,0.202
BARLEY,0.6087071454114442,0.2
BARLEY,0.6087071454114442,0.198
BARLEY,0.6087071454114442,0.196
BARLEY,0.6087071454114442,0.194
BARLEY,0.656191597269919,0.192
BARLEY,0.703676049128394,0.19
BARLEY,0.703676049128394,0.188
BARLEY,0.703676049128394,0.186
BARLEY,0.703676049128394,0.184
BARLEY,0.703676049128394,0.182
BARLEY,0.703676049128394,0.18
BARLEY,0.703676049128394,0.178
BARLEY,0.703676049128394,0.176
BARLEY,0.703676049128394,0.174
BARLEY,0.703676049128394,0.172
BARLEY,0.7511605009868688,0.17
BARLEY,0.7511605009868688,0.168
BARLEY,0.7511605009868688,0.166
BARLEY,0.7511605009868688,0.164
BARLEY,0.7986449528453436,0.162
BARLEY,0.7986449528453436,0.16
BARLEY,0.8936138565622934,0.158
BARLEY,0.8936138565622934,0.156
BARLEY,0.8936138565622934,0.154
BARLEY,0.8936138565622934,0.152
BARLEY,0.8936138565622934,0.15
BARLEY,0.8936138565622934,0.148
BARLEY,0.9885827602792432,0.146
BARLEY,0.9885827602792432,0.144
BARLEY,0.9885827602792432,0.142
BARLEY,0.9885827602792432,0.14
BARLEY,0.9885827602792432,0.138
BARLEY,0.9885827602792432,0.136
BARLEY,0.9885827602792432,0.134
BARLEY,1.0835516639961928,0.132
BARLEY,1.0835516639961928,0.13
BARLEY,1.0835516639961928,0.128
BARLEY,1.0835516639961928,0.126
BARLEY,1.0835516639961928,0.124
BARLEY,1.2260050195716174,0.122
BARLEY,1.2734894714300924,0.12
BARLEY,1.2734894714300924,0.118
BARLEY,1.2734894714300924,0.116
BARLEY,1.2734894714300924,0.114
BARLEY,1.2734894714300924,0.112
BARLEY,1.2734894714300924,0.11
BARLEY,1.368458375147042,0.108
BARLEY,1.368458375147042,0.106
BARLEY,1.368458375147042,0.104
BARLEY,1.463427278863992,0.102
BARLEY,1.463427278863992,0.1
BARLEY,1.463427278863992,0.098
BARLEY,1.463427278863992,0.096
BARLEY,1.463427278863992,0.094
BARLEY,1.463427278863992,0.092
BARLEY,1.463427278863992,0.09
BARLEY,1.463427278863992,0.088
BARLEY,1.463427278863992,0.086
BARLEY,1.463427278863992,0.084
BARLEY,1.463427278863992,0.082
BARLEY,1.7483339900148411,0.08
BARLEY,1.7483339900148411,0.078
BARLEY,1.7483339900148411,0.076
BARLEY,1.7483339900148411,0.074
BARLEY,1.7483339900148411,0.072
BARLEY,1.8116465924928076,0.07
BARLEY,1.8433028937317908,0.068
BARLEY,1.8433028937317908,0.066
BARLEY,1.9382717974487405,0.064
BARLEY,1.9382717974487405,0.062
BARLEY,1.9382717974487405,0.06
BARLEY,1.9382717974487405,0.058
BARLEY,1.9382717974487405,0.056
BARLEY,2.03324070116569,0.054
BARLEY,2.03324070116569,0.052
BARLEY,2.03324070116569,0.05
BARLEY,2.03324070116569,0.048
BARLEY,2.03324070116569,0.046
BARLEY,2.03324070116569,0.044
BARLEY,2.1282096048826395,0.042
BARLEY,2.1756940567411145,0.04
BARLEY,2.1756940567411145,0.038
BARLEY,2.1756940567411145,0.036
BARLEY,2.1756940567411145,0.034
BARLEY,2.3656318641750143,0.032
BARLEY,2.4131163160334888,0.03
BARLEY,2.4131163160334888,0.028
BARLEY,2.4131163160334888,0.026
BARLEY,2.5080852197504386,0.024
BARLEY,2.6030541234673885,0.022
BARLEY,2.6980230271843384,0.02
BARLEY,2.792991930901288,0.018
BARLEY,2.8879608346182377,0.016
BARLEY,2.8879608346182377,0.014
BARLEY,2.8879608346182377,0.012
BARLEY,3.172867545769087,0.01
BARLEY,4.217525486655534,0.008
BARLEY,4.5024321978063835,0.006
BARLEY,4.605315176833079,0.004
BARLEY,4.787338908957232,0.002
DATES,-1.126416251175005,1.0
DATES,-1.126416251175005,0.9976635514018691
DATES,-1.1095977267713917,0.9953271028037384
DATES,-1.0927792023677783,0.9929906542056075
DATES,-1.0927792023677783,0.9906542056074766
DATES,-1.0843699401659717,0.9883177570093458
DATES,-1.075960677964165,0.985981308411215
DATES,-1.0717560468632616,0.9836448598130841
DATES,-1.050732891358745,0.9813084112149533
DATES,-1.050732891358745,0.9789719626168224
DATES,-1.0465282602578416,0.9766355140186916
DATES,-1.0339143669551316,0.9742990654205608
DATES,-1.0339143669551316,0.9719626168224299
DATES,-1.0339143669551316,0.969626168224299
DATES,-1.0339143669551316,0.9672897196261683
DATES,-1.01919815810197,0.9649532710280374
DATES,-1.0170958425515184,0.9626168224299065
DATES,-1.0086865803497116,0.9602803738317757
DATES,-0.9960726870470016,0.9579439252336449
DATES,-0.9918680559460983,0.955607476635514
DATES,-0.9834587937442916,0.9532710280373832
DATES,-0.9834587937442916,0.9509345794392523
DATES,-0.9708449004415816,0.9485981308411215
DATES,-0.9603333226893233,0.9462616822429907
DATES,-0.9582310071388717,0.9439252336448598
DATES,-0.95612869158842,0.9415887850467289
DATES,-0.9519240604875167,0.9392523364485982
DATES,-0.9477194293866132,0.9369158878504673
DATES,-0.9330032205334516,0.9345794392523364
DATES,-0.9330032205334516,0.9322429906542056
DATES,-0.9330032205334516,0.9299065420560748
DATES,-0.9330032205334516,0.927570093457944
DATES,-0.9330032205334516,0.9252336448598131
DATES,-0.9330032205334516,0.9228971962616822
DATES,-0.9203893272307416,0.9205607476635514
DATES,-0.9077754339280316,0.9182242990654206
DATES,-0.9077754339280316,0.9158878504672897
DATES,-0.9077754339280316,0.9135514018691588
DATES,-0.8993661717262249,0.9112149532710281
DATES,-0.8993661717262249,0.9088785046728972
DATES,-0.8993661717262249,0.9065420560747663
DATES,-0.8867522784235149,0.9042056074766355
DATES,-0.8867522784235149,0.9018691588785047
DATES,-0.8867522784235149,0.8995327102803738
DATES,-0.8825476473226116,0.897196261682243
DATES,-0.8825476473226116,0.8948598130841121
DATES,-0.8825476473226116,0.8925233644859814
DATES,-0.8825476473226116,0.8901869158878505
DATES,-0.8825476473226116,0.8878504672897196
DATES,-0.8825476473226116,0.8855140186915887
DATES,-0.8783430162217082,0.883177570093458
DATES,-0.8741383851208049,0.8808411214953271
DATES,-0.8657291229189982,0.8785046728971962
DATES,-0.8573198607171916,0.8761682242990654
DATES,-0.8573198607171916,0.8738317757009346
DATES,-0.8573198607171916,0.8714953271028038
DATES,-0.8573198607171916,0.8691588785046729
DATES,-0.8573198607171916,0.866822429906542
DATES,-0.8573198607171916,0.8644859813084113
DATES,-0.8573198607171916,0.8621495327102804
DATES,-0.8531152296162883,0.8598130841121495
DATES,-0.8489105985153849,0.8574766355140186
DATES,-0.8489105985153849,0.8551401869158879
DATES,-0.8489105985153849,0.852803738317757
DATES,-0.8489105985153849,0.8504672897196262
DATES,-0.8447059674144816,0.8481308411214953
DATES,-0.8436548096392558,0.8457943925233645
DATES,-0.8320920741117716,0.8434579439252337
DATES,-0.8320920741117716,0.8411214953271028
DATES,-0.8320920741117716,0.8387850467289719
DATES,-0.8320920741117716,0.8364485981308412
DATES,-0.8320920741117716,0.8341121495327103
DATES,-0.8236828119099648,0.8317757009345794
DATES,-0.8236828119099648,0.8294392523364486
DATES,-0.8194781808090615,0.8271028037383178
DATES,-0.8194781808090615,0.8247663551401869
DATES,-0.8194781808090615,0.822429906542056
DATES,-0.8152735497081582,0.8200934579439252
DATES,-0.8110689186072548,0.8177570093457944
DATES,-0.8068642875063515,0.8154205607476636
DATES,-0.8068642875063515,0.8130841121495327
DATES,-0.8068642875063515,0.8107476635514018
DATES,-0.8068642875063515,0.8084112149532711
DATES,-0.8068642875063515,0.8060747663551402
DATES,-0.8068642875063515,0.8037383177570093
DATES,-0.8068642875063515,0.8014018691588785
DATES,-0.8026596564054482,0.7990654205607477
DATES,-0.8026596564054482,0.7967289719626168
DATES,-0.8026596564054482,0.794392523364486
DATES,-0.8026596564054482,0.7920560747663551
DATES,-0.8026596564054482,0.7897196261682243
DATES,-0.8026596564054482,0.7873831775700935
DATES,-0.7984550253045448,0.7850467289719626
DATES,-0.7942503942036415,0.7827102803738317
DATES,-0.7942503942036415,0.780373831775701
DATES,-0.7816365009009315,0.7780373831775701
DATES,-0.7816365009009315,0.7757009345794392
DATES,-0.7816365009009315,0.7733644859813084
DATES,-0.7816365009009315,0.7710280373831776
DATES,-0.7816365009009315,0.7686915887850467
DATES,-0.7690226075982215,0.7663551401869159
DATES,-0.7690226075982215,0.764018691588785
DATES,-0.7648179764973182,0.7616822429906542
DATES,-0.7606133453964148,0.7593457943925234
DATES,-0.7564087142955115,0.7570093457943925
DATES,-0.7564087142955115,0.7546728971962616
DATES,-0.7564087142955115,0.7523364485981309
DATES,-0.7311809276900915,0.75
DATES,-0.7311809276900915,0.7476635514018691
DATES,-0.7311809276900915,0.7453271028037384
DATES,-0.7311809276900915,0.7429906542056075
DATES,-0.7311809276900915,0.7406542056074766
DATES,-0.7311809276900915,0.7383177570093458
DATES,-0.7311809276900915,0.735981308411215
DATES,-0.7311809276900915,0.7336448598130841
DATES,-0.7311809276900915,0.7313084112149533
DATES,-0.7311809276900915,0.7289719626168224
DATES,-0.7311809276900915,0.7266355140186916
DATES,-0.7311809276900915,0.7242990654205608
DATES,-0.7311809276900915,0.7219626168224299
DATES,-0.7311809276900915,0.719626168224299
DATES,-0.7311809276900915,0.7172897196261683
DATES,-0.7311809276900915,0.7149532710280374
DATES,-0.7311809276900915,0.7126168224299065
DATES,-0.7227716654882849,0.7102803738317757
DATES,-0.7059531410846714,0.7079439252336449
DATES,-0.7059531410846714,0.705607476635514
DATES,-0.7059531410846714,0.7032710280373832
DATES,-0.7059531410846714,0.7009345794392523
DATES,-0.7059531410846714,0.6985981308411215
DATES,-0.6975438788828648,0.6962616822429907
DATES,-0.6975438788828648,0.6939252336448598
DATES,-0.6807253544792514,0.6915887850467289
DATES,-0.6807253544792514,0.6892523364485982
DATES,-0.6807253544792514,0.6869158878504673
DATES,-0.6807253544792514,0.6845794392523364
DATES,-0.6807253544792514,0.6822429906542056
DATES,-0.6807253544792514,0.6799065420560748
DATES,-0.6807253544792514,0.677570093457944
DATES,-0.6807253544792514,0.6752336448598131
DATES,-0.6807253544792514,0.6728971962616822
DATES,-0.6807253544792514,0.6705607476635514
DATES,-0.6681114611765414,0.6682242990654206
DATES,-0.6554975678738314,0.6658878504672897
DATES,-0.6302697812684115,0.6635514018691588
DATES,-0.6302697812684115,0.6612149532710281
DATES,-0.6302697812684115,0.6588785046728972
DATES,-0.6302697812684115,0.6565420560747663
DATES,-0.6302697812684115,0.6542056074766355
DATES,-0.6302697812684115,0.6518691588785047
DATES,-0.6302697812684115,0.6495327102803738
DATES,-0.6302697812684115,0.647196261682243
DATES,-0.6302697812684115,0.6448598130841121
DATES,-0.6302697812684115,0.6425233644859814
DATES,-0.6302697812684115,0.6401869158878505
DATES,-0.6302697812684115,0.6378504672897196
DATES,-0.6302697812684115,0.6355140186915887
DATES,-0.6302697812684115,0.633177570093458
DATES,-0.6302697812684115,0.6308411214953271
DATES,-0.6302697812684115,0.6285046728971962
DATES,-0.6302697812684115,0.6261682242990654
DATES,-0.6050419946629915,0.6238317757009346
DATES,-0.6050419946629915,0.6214953271028038
DATES,-0.6050419946629915,0.6191588785046729
DATES,-0.6050419946629915,0.616822429906542
DATES,-0.5798142080575714,0.6144859813084113
DATES,-0.5798142080575714,0.6121495327102804
DATES,-0.5798142080575714,0.6098130841121495
DATES,-0.5798142080575714,0.6074766355140186
DATES,-0.5798142080575714,0.6051401869158879
DATES,-0.5798142080575714,0.602803738317757
DATES,-0.562995683653958,0.6004672897196262
DATES,-0.5545864214521514,0.5981308411214953
DATES,-0.5545864214521514,0.5957943925233645
DATES,-0.5545864214521514,0.5934579439252337
DATES,-0.5545864214521514,0.5911214953271028
DATES,-0.5545864214521514,0.5887850467289719
DATES,-0.5545864214521514,0.5864485981308412
DATES,-0.5419725281494414,0.5841121495327103
DATES,-0.5293586348467314,0.5817757009345794
DATES,-0.5293586348467314,0.5794392523364486
DATES,-0.5293586348467314,0.5771028037383178
DATES,-0.5293586348467314,0.5747663551401869
DATES,-0.5293586348467314,0.572429906542056
DATES,-0.5293586348467314,0.5700934579439252
DATES,-0.5293586348467314,0.5677570093457944
DATES,-0.5209493726449247,0.5654205607476636
DATES,-0.5041308482413114,0.5630841121495327
